job_title,location,industry,skills,experience,salary_lpa,posted_date
cloud engineer,Chennai,IT,"aws, linux, azure",3,10,2023-07-17
data analyst,Bangalore,HealthTech,"excel, power bi, sql",5,14,2024-01-18
data scientist,Mumbai,FinTech,"statistics, ml, python",8,15,2023-10-12
data scientist,Hyderabad,EdTech,"ml, python, statistics",5,20,2024-05-08
data scientist,Delhi,E-Commerce,"statistics, sql, python",2,6,2024-06-06
devops engineer,Delhi,EdTech,"linux, aws, kubernetes",3,13,2023-05-19
cyber security analyst,Hyderabad,HealthTech,"networking, linux, security",1,18,2023-12-23
software engineer,Delhi,IT,"python, java, oops",6,15,2023-12-05
devops engineer,Chennai,IT,"kubernetes, docker, aws",6,14,2023-08-18
software engineer,Hyderabad,E-Commerce,"sql, oops, java",5,15,2023-02-11
software engineer,Pune,FinTech,"oops, java, python",6,6,2024-11-16
data scientist,Chennai,HealthTech,"ml, python, sql",6,12,2023-11-20
ml engineer,Hyderabad,IT,"tensorflow, ml, python",4,22,2023-01-04
cyber security analyst,Chennai,HealthTech,"networking, security, linux",7,14,2024-05-19
business analyst,Hyderabad,FinTech,"excel, sql, communication",4,14,2024-06-23
devops engineer,Pune,HealthTech,"kubernetes, docker, linux",8,9,2023-10-14
data scientist,Hyderabad,HealthTech,"python, sql, statistics",4,10,2024-12-17
business analyst,Delhi,EdTech,"excel, sql, communication",0,21,2024-04-09
data scientist,Hyderabad,IT,"ml, statistics, sql",2,9,2023-11-13
ml engineer,Delhi,HealthTech,"deep learning, python, tensorflow",6,4,2024-03-07
devops engineer,Pune,FinTech,"aws, linux, docker",8,10,2023-02-22
cyber security analyst,Mumbai,E-Commerce,"security, linux, networking",4,25,2024-06-02
devops engineer,Pune,EdTech,"aws, docker, kubernetes",0,9,2024-11-13
devops engineer,Bangalore,HealthTech,"docker, linux, kubernetes",6,16,2024-09-12
ml engineer,Pune,FinTech,"tensorflow, python, ml",2,16,2023-09-30
ml engineer,Delhi,E-Commerce,"deep learning, python, ml",8,8,2024-02-16
cyber security analyst,Pune,HealthTech,"security, networking, linux",0,15,2024-01-29
ml engineer,Delhi,EdTech,"python, deep learning, tensorflow",0,9,2023-05-16
business analyst,Delhi,E-Commerce,"sql, communication, excel",1,23,2024-06-14
software engineer,Hyderabad,HealthTech,"python, java, oops",8,19,2023-11-18
ml engineer,Pune,HealthTech,"tensorflow, ml, deep learning",5,18,2024-06-13
cloud engineer,Mumbai,E-Commerce,"linux, azure, docker",6,25,2024-09-06
cloud engineer,Hyderabad,E-Commerce,"aws, azure, linux",5,13,2023-07-20
ml engineer,Hyderabad,EdTech,"deep learning, ml, python",7,20,2023-01-27
devops engineer,Delhi,HealthTech,"linux, aws, kubernetes",8,19,2023-01-01
software engineer,Pune,E-Commerce,"java, oops, python",1,12,2024-07-07
data analyst,Delhi,IT,"power bi, sql, excel",4,24,2023-11-14
data scientist,Hyderabad,HealthTech,"python, sql, ml",3,22,2023-02-12
cyber security analyst,Delhi,EdTech,"security, networking, linux",0,8,2023-01-18
devops engineer,Pune,HealthTech,"kubernetes, linux, docker",3,9,2023-02-08
software engineer,Bangalore,EdTech,"oops, python, java",2,15,2023-02-25
cyber security analyst,Pune,FinTech,"networking, linux, security",7,13,2024-02-04
cyber security analyst,Mumbai,IT,"linux, networking, security",3,7,2024-04-06
ai engineer,Mumbai,FinTech,"nlp, ml, ai",5,7,2024-11-27
cyber security analyst,Mumbai,FinTech,"networking, linux, security",4,12,2023-11-24
data analyst,Delhi,E-Commerce,"excel, power bi, sql",3,11,2023-12-15
business analyst,Delhi,HealthTech,"sql, communication, excel",0,12,2024-01-01
ml engineer,Chennai,HealthTech,"tensorflow, deep learning, ml",2,17,2023-12-30
devops engineer,Hyderabad,FinTech,"docker, linux, aws",5,22,2023-07-21
data analyst,Chennai,HealthTech,"python, excel, power bi",0,18,2024-01-19
cyber security analyst,Delhi,EdTech,"linux, networking, security",7,10,2024-01-15
cloud engineer,Bangalore,IT,"docker, azure, linux",0,4,2023-10-31
data scientist,Mumbai,E-Commerce,"sql, python, statistics",4,25,2023-09-02
devops engineer,Bangalore,HealthTech,"docker, kubernetes, aws",7,25,2023-04-11
ml engineer,Delhi,HealthTech,"ml, tensorflow, python",6,21,2024-03-12
data analyst,Mumbai,FinTech,"power bi, excel, python",3,19,2023-07-16
devops engineer,Hyderabad,FinTech,"kubernetes, docker, aws",2,11,2024-03-17
cloud engineer,Hyderabad,FinTech,"azure, aws, docker",1,18,2023-09-08
data analyst,Delhi,E-Commerce,"python, excel, sql",4,18,2024-09-17
cloud engineer,Chennai,FinTech,"aws, docker, azure",8,3,2024-06-22
data analyst,Bangalore,E-Commerce,"python, excel, sql",5,5,2023-10-30
cloud engineer,Pune,IT,"aws, azure, linux",2,20,2024-03-21
ml engineer,Pune,E-Commerce,"deep learning, python, ml",6,13,2024-11-15
ml engineer,Bangalore,EdTech,"tensorflow, python, deep learning",0,3,2023-02-04
devops engineer,Pune,E-Commerce,"docker, aws, kubernetes",4,8,2024-05-03
ml engineer,Delhi,FinTech,"python, deep learning, ml",1,24,2024-02-14
devops engineer,Hyderabad,FinTech,"docker, linux, aws",0,15,2024-04-04
business analyst,Hyderabad,EdTech,"sql, excel, communication",3,24,2023-10-18
business analyst,Delhi,HealthTech,"sql, excel, communication",1,21,2023-01-10
data scientist,Mumbai,E-Commerce,"ml, sql, python",0,7,2023-07-22
business analyst,Bangalore,HealthTech,"sql, communication, excel",5,23,2023-04-30
ml engineer,Bangalore,HealthTech,"tensorflow, ml, python",4,8,2023-04-24
ai engineer,Chennai,EdTech,"python, ai, ml",8,20,2023-03-31
cyber security analyst,Delhi,E-Commerce,"security, linux, networking",0,25,2024-02-05
cloud engineer,Mumbai,EdTech,"aws, docker, azure",4,4,2024-03-13
cyber security analyst,Delhi,E-Commerce,"linux, networking, security",3,17,2023-04-30
ai engineer,Mumbai,FinTech,"ai, nlp, python",6,19,2024-03-24
business analyst,Hyderabad,FinTech,"communication, excel, sql",2,7,2023-07-29
cloud engineer,Chennai,HealthTech,"docker, aws, azure",2,13,2023-11-06
ai engineer,Bangalore,E-Commerce,"ai, ml, python",6,22,2023-03-09
cloud engineer,Delhi,FinTech,"linux, azure, docker",3,22,2024-12-20
software engineer,Pune,E-Commerce,"sql, oops, python",8,11,2024-06-23
cloud engineer,Pune,HealthTech,"docker, azure, aws",1,5,2023-08-16
devops engineer,Mumbai,E-Commerce,"kubernetes, linux, aws",2,12,2024-11-19
devops engineer,Delhi,FinTech,"docker, linux, aws",1,14,2023-05-05
cloud engineer,Pune,E-Commerce,"azure, linux, docker",4,3,2023-11-04
ml engineer,Delhi,EdTech,"ml, python, deep learning",4,12,2024-07-24
ml engineer,Bangalore,EdTech,"tensorflow, ml, python",0,3,2023-04-24
web developer,Chennai,HealthTech,"react, html, css",3,24,2024-05-30
cyber security analyst,Hyderabad,E-Commerce,"networking, security, linux",5,9,2024-02-19
web developer,Delhi,IT,"javascript, html, css",2,22,2024-06-16
cyber security analyst,Mumbai,IT,"networking, linux, security",7,10,2024-05-09
ai engineer,Delhi,IT,"ml, ai, nlp",3,10,2023-05-21
software engineer,Chennai,E-Commerce,"oops, sql, java",1,15,2023-06-30
data analyst,Mumbai,FinTech,"sql, python, excel",2,8,2024-11-08
software engineer,Hyderabad,EdTech,"java, sql, oops",8,25,2023-11-09
software engineer,Mumbai,FinTech,"sql, python, java",6,14,2023-05-14
data scientist,Delhi,HealthTech,"ml, sql, statistics",7,19,2024-07-10
web developer,Mumbai,HealthTech,"react, css, html",3,9,2023-07-28
business analyst,Chennai,E-Commerce,"sql, communication, excel",3,21,2023-02-23
business analyst,Hyderabad,IT,"communication, excel, sql",7,8,2024-06-07
devops engineer,Chennai,FinTech,"kubernetes, aws, docker",2,3,2024-11-12
business analyst,Hyderabad,E-Commerce,"sql, excel, communication",5,16,2024-03-21
ai engineer,Bangalore,FinTech,"ml, ai, python",6,10,2024-08-28
web developer,Hyderabad,IT,"css, react, javascript",2,22,2024-07-30
web developer,Mumbai,IT,"react, html, css",6,20,2023-04-25
ml engineer,Bangalore,IT,"deep learning, ml, tensorflow",2,10,2024-04-03
software engineer,Delhi,FinTech,"sql, python, oops",7,15,2023-05-16
data analyst,Mumbai,EdTech,"python, power bi, sql",8,15,2023-04-06
ai engineer,Chennai,E-Commerce,"ai, nlp, ml",5,24,2024-02-26
data analyst,Bangalore,EdTech,"python, power bi, excel",8,21,2023-03-08
data analyst,Mumbai,E-Commerce,"excel, python, power bi",6,24,2024-08-14
cloud engineer,Chennai,FinTech,"azure, docker, aws",8,5,2024-12-04
cloud engineer,Pune,HealthTech,"azure, aws, linux",0,7,2024-12-25
software engineer,Hyderabad,IT,"oops, sql, python",7,5,2023-01-17
ai engineer,Chennai,EdTech,"python, ml, ai",1,14,2023-11-05
devops engineer,Chennai,FinTech,"kubernetes, linux, docker",8,10,2024-01-14
cloud engineer,Hyderabad,EdTech,"linux, docker, azure",3,25,2023-10-04
cloud engineer,Delhi,FinTech,"docker, aws, azure",0,22,2024-08-27
data scientist,Chennai,HealthTech,"ml, sql, statistics",0,12,2024-01-30
data analyst,Hyderabad,IT,"sql, power bi, excel",6,20,2023-10-26
software engineer,Bangalore,E-Commerce,"sql, java, oops",5,17,2023-05-21
software engineer,Pune,HealthTech,"java, oops, python",7,12,2023-03-04
data analyst,Pune,E-Commerce,"excel, python, sql",7,10,2024-07-09
cloud engineer,Pune,EdTech,"linux, docker, azure",6,11,2023-01-07
ml engineer,Mumbai,EdTech,"ml, deep learning, tensorflow",4,24,2023-10-25
data scientist,Pune,HealthTech,"statistics, sql, python",3,24,2024-11-23
data scientist,Bangalore,EdTech,"sql, ml, statistics",0,7,2023-01-29
devops engineer,Mumbai,IT,"kubernetes, linux, docker",4,23,2024-11-08
data analyst,Chennai,E-Commerce,"power bi, sql, python",7,18,2023-07-04
business analyst,Chennai,EdTech,"excel, sql, communication",3,12,2023-12-10
data analyst,Bangalore,IT,"excel, power bi, python",3,10,2023-07-14
software engineer,Pune,IT,"sql, java, oops",6,16,2024-06-17
business analyst,Chennai,HealthTech,"excel, sql, communication",8,6,2024-03-11
software engineer,Mumbai,IT,"oops, java, sql",5,24,2024-10-23
ai engineer,Mumbai,IT,"nlp, ml, ai",1,23,2024-04-28
cyber security analyst,Delhi,FinTech,"linux, networking, security",0,23,2024-02-02
cyber security analyst,Pune,EdTech,"networking, security, linux",6,16,2023-01-01
ml engineer,Mumbai,FinTech,"python, ml, tensorflow",2,6,2023-08-29
business analyst,Chennai,E-Commerce,"excel, communication, sql",4,13,2023-02-04
cyber security analyst,Delhi,FinTech,"linux, security, networking",2,19,2023-04-11
cloud engineer,Pune,IT,"azure, docker, linux",5,7,2023-06-03
cyber security analyst,Mumbai,IT,"linux, networking, security",5,9,2024-11-27
software engineer,Pune,IT,"oops, sql, python",6,8,2023-06-02
web developer,Pune,E-Commerce,"css, html, javascript",0,19,2023-12-25
devops engineer,Chennai,EdTech,"linux, kubernetes, aws",0,9,2024-02-17
ai engineer,Mumbai,HealthTech,"python, ml, ai",2,22,2023-01-25
software engineer,Delhi,FinTech,"oops, python, java",6,25,2024-11-11
ai engineer,Chennai,E-Commerce,"python, ai, ml",4,16,2024-04-14
cyber security analyst,Hyderabad,FinTech,"networking, security, linux",5,19,2024-10-16
business analyst,Hyderabad,IT,"excel, communication, sql",2,14,2023-05-15
software engineer,Chennai,EdTech,"oops, python, java",8,8,2024-08-23
cyber security analyst,Chennai,HealthTech,"networking, linux, security",7,18,2024-08-07
business analyst,Mumbai,EdTech,"sql, communication, excel",4,14,2024-05-07
software engineer,Hyderabad,HealthTech,"oops, java, sql",2,16,2024-03-02
ai engineer,Delhi,E-Commerce,"ml, ai, python",0,24,2023-03-08
cyber security analyst,Delhi,E-Commerce,"networking, security, linux",0,22,2024-04-02
cyber security analyst,Hyderabad,EdTech,"security, networking, linux",7,10,2024-07-01
web developer,Hyderabad,E-Commerce,"html, javascript, react",3,7,2023-01-17
business analyst,Hyderabad,FinTech,"excel, sql, communication",4,11,2023-02-13
ml engineer,Pune,IT,"ml, python, tensorflow",2,17,2023-06-10
cyber security analyst,Bangalore,E-Commerce,"networking, linux, security",0,3,2023-11-28
devops engineer,Bangalore,IT,"linux, docker, kubernetes",2,6,2023-11-11
business analyst,Chennai,EdTech,"communication, excel, sql",4,11,2024-05-12
ai engineer,Bangalore,EdTech,"nlp, ml, python",7,24,2024-07-24
ml engineer,Hyderabad,HealthTech,"ml, tensorflow, python",8,20,2023-02-18
ml engineer,Pune,HealthTech,"tensorflow, ml, python",6,15,2023-01-06
business analyst,Delhi,HealthTech,"communication, sql, excel",3,23,2023-12-31
software engineer,Pune,FinTech,"java, python, sql",6,10,2024-12-30
ml engineer,Bangalore,E-Commerce,"tensorflow, deep learning, python",7,13,2024-07-01
data scientist,Chennai,FinTech,"python, statistics, ml",5,17,2024-02-08
business analyst,Delhi,E-Commerce,"communication, excel, sql",7,3,2024-11-27
business analyst,Bangalore,FinTech,"excel, communication, sql",3,17,2024-01-27
ml engineer,Mumbai,EdTech,"deep learning, tensorflow, python",4,8,2024-01-10
data analyst,Hyderabad,E-Commerce,"sql, python, excel",1,9,2024-10-24
cyber security analyst,Pune,HealthTech,"networking, security, linux",8,24,2023-06-16
cyber security analyst,Delhi,FinTech,"security, linux, networking",4,17,2024-04-22
cloud engineer,Chennai,FinTech,"docker, linux, azure",3,10,2023-07-03
ai engineer,Chennai,FinTech,"ml, nlp, python",2,20,2025-01-01
web developer,Chennai,HealthTech,"css, html, javascript",4,13,2024-11-15
cyber security analyst,Mumbai,EdTech,"security, linux, networking",7,8,2023-12-26
ai engineer,Hyderabad,IT,"ai, ml, python",6,16,2023-12-06
data scientist,Chennai,E-Commerce,"statistics, ml, python",0,15,2024-07-16
ml engineer,Bangalore,FinTech,"ml, tensorflow, deep learning",8,14,2023-09-26
data analyst,Chennai,FinTech,"sql, python, excel",1,7,2024-04-17
web developer,Hyderabad,FinTech,"javascript, css, html",5,18,2023-07-01
data analyst,Pune,HealthTech,"power bi, excel, sql",5,23,2023-12-20
business analyst,Chennai,EdTech,"communication, excel, sql",6,23,2024-06-25
devops engineer,Chennai,EdTech,"kubernetes, linux, aws",5,7,2024-10-22
business analyst,Hyderabad,HealthTech,"sql, communication, excel",6,12,2023-06-18
software engineer,Delhi,EdTech,"oops, java, sql",5,15,2024-02-13
web developer,Chennai,IT,"css, react, javascript",3,20,2023-05-15
software engineer,Hyderabad,FinTech,"java, sql, oops",7,17,2023-09-20
cyber security analyst,Bangalore,E-Commerce,"linux, networking, security",4,17,2023-01-16
data scientist,Bangalore,IT,"ml, python, statistics",1,14,2023-02-02
software engineer,Pune,HealthTech,"oops, sql, python",1,20,2023-11-19
ai engineer,Bangalore,HealthTech,"ai, nlp, ml",4,21,2024-03-20
data analyst,Chennai,EdTech,"sql, power bi, python",6,3,2023-08-04
web developer,Hyderabad,HealthTech,"css, javascript, react",0,24,2024-10-15
ai engineer,Bangalore,EdTech,"ml, ai, nlp",2,13,2023-04-23
ai engineer,Mumbai,HealthTech,"python, nlp, ml",7,9,2024-10-30
devops engineer,Pune,EdTech,"docker, linux, aws",2,9,2023-11-04
software engineer,Delhi,FinTech,"sql, java, python",1,25,2024-09-07
software engineer,Bangalore,HealthTech,"python, oops, java",6,23,2024-03-05
cloud engineer,Chennai,HealthTech,"linux, aws, azure",5,20,2023-09-01
web developer,Chennai,FinTech,"react, javascript, css",4,4,2024-04-29
devops engineer,Chennai,FinTech,"aws, docker, kubernetes",8,5,2024-12-07
cyber security analyst,Pune,E-Commerce,"networking, linux, security",5,6,2023-06-23
data scientist,Bangalore,FinTech,"ml, python, statistics",6,7,2023-05-04
ai engineer,Pune,E-Commerce,"ai, python, nlp",0,21,2023-04-01
data analyst,Bangalore,E-Commerce,"power bi, sql, python",1,24,2024-02-20
ai engineer,Delhi,FinTech,"nlp, python, ai",2,11,2023-07-03
cyber security analyst,Delhi,IT,"security, linux, networking",1,4,2023-04-16
ml engineer,Pune,HealthTech,"python, deep learning, tensorflow",3,22,2023-07-01
data analyst,Bangalore,EdTech,"excel, sql, power bi",1,16,2024-09-29
ml engineer,Pune,IT,"python, tensorflow, deep learning",2,3,2024-02-16
cyber security analyst,Hyderabad,EdTech,"networking, security, linux",7,16,2024-07-25
devops engineer,Hyderabad,E-Commerce,"linux, kubernetes, aws",2,16,2023-01-11
software engineer,Mumbai,HealthTech,"sql, python, oops",6,10,2024-04-28
software engineer,Bangalore,EdTech,"sql, python, oops",7,10,2023-01-29
data scientist,Hyderabad,HealthTech,"python, sql, statistics",7,23,2024-02-14
cyber security analyst,Delhi,IT,"linux, networking, security",6,8,2023-07-26
cloud engineer,Pune,FinTech,"linux, azure, docker",7,19,2023-07-19
cyber security analyst,Delhi,FinTech,"linux, networking, security",6,18,2023-06-02
cyber security analyst,Delhi,IT,"linux, security, networking",2,6,2023-10-28
software engineer,Mumbai,E-Commerce,"java, python, sql",0,18,2023-04-18
cloud engineer,Mumbai,EdTech,"docker, linux, aws",8,16,2023-02-01
devops engineer,Delhi,E-Commerce,"docker, aws, kubernetes",6,24,2024-07-09
web developer,Delhi,IT,"react, css, javascript",5,14,2023-04-07
devops engineer,Bangalore,FinTech,"aws, docker, kubernetes",2,6,2023-12-05
cyber security analyst,Chennai,E-Commerce,"linux, networking, security",6,15,2023-07-06
devops engineer,Hyderabad,FinTech,"docker, kubernetes, linux",2,5,2023-08-19
software engineer,Delhi,FinTech,"java, sql, oops",8,25,2024-06-04
devops engineer,Delhi,EdTech,"docker, aws, linux",3,24,2023-02-15
devops engineer,Chennai,E-Commerce,"linux, aws, docker",7,17,2023-08-18
web developer,Bangalore,EdTech,"css, html, javascript",3,15,2023-06-16
cyber security analyst,Hyderabad,EdTech,"networking, linux, security",8,10,2023-05-03
data scientist,Hyderabad,EdTech,"statistics, sql, python",4,20,2024-05-31
web developer,Chennai,HealthTech,"javascript, html, react",7,12,2023-09-18
ai engineer,Delhi,HealthTech,"nlp, python, ai",7,8,2023-06-17
ai engineer,Delhi,HealthTech,"python, nlp, ai",7,10,2023-09-12
web developer,Pune,IT,"javascript, html, css",2,19,2024-06-13
software engineer,Mumbai,IT,"sql, oops, java",0,17,2024-12-30
ml engineer,Hyderabad,HealthTech,"ml, python, deep learning",5,6,2023-03-22
ml engineer,Chennai,HealthTech,"deep learning, tensorflow, python",4,14,2023-06-17
software engineer,Pune,EdTech,"oops, java, sql",4,8,2024-12-26
software engineer,Mumbai,HealthTech,"python, java, sql",1,8,2023-06-09
software engineer,Chennai,E-Commerce,"oops, python, java",8,5,2023-05-08
business analyst,Delhi,HealthTech,"excel, sql, communication",7,21,2024-12-14
business analyst,Chennai,E-Commerce,"sql, excel, communication",2,24,2023-03-13
ai engineer,Delhi,IT,"ml, ai, python",0,3,2023-10-22
data scientist,Hyderabad,IT,"python, ml, sql",2,16,2024-06-03
data scientist,Mumbai,HealthTech,"sql, python, ml",3,13,2024-06-12
cyber security analyst,Hyderabad,E-Commerce,"security, networking, linux",0,14,2023-04-08
software engineer,Mumbai,IT,"java, sql, python",5,14,2024-08-31
devops engineer,Delhi,EdTech,"aws, kubernetes, linux",6,16,2023-02-17
devops engineer,Pune,EdTech,"linux, docker, kubernetes",5,17,2023-09-15
business analyst,Pune,FinTech,"excel, communication, sql",6,23,2024-08-15
devops engineer,Mumbai,E-Commerce,"aws, docker, linux",3,14,2024-07-22
cloud engineer,Mumbai,EdTech,"docker, linux, aws",4,22,2023-01-26
data scientist,Delhi,FinTech,"ml, python, sql",0,25,2024-12-18
ml engineer,Mumbai,E-Commerce,"ml, deep learning, python",7,17,2023-11-03
business analyst,Chennai,FinTech,"excel, sql, communication",6,9,2023-12-01
data scientist,Bangalore,EdTech,"sql, python, ml",2,18,2024-05-06
devops engineer,Delhi,EdTech,"linux, kubernetes, docker",2,24,2023-06-25
ml engineer,Chennai,IT,"python, tensorflow, ml",2,24,2024-02-18
cyber security analyst,Chennai,HealthTech,"networking, security, linux",1,7,2024-02-12
ml engineer,Pune,HealthTech,"ml, python, tensorflow",7,9,2024-09-20
software engineer,Pune,HealthTech,"oops, python, sql",3,20,2023-12-17
devops engineer,Mumbai,EdTech,"kubernetes, docker, linux",6,10,2023-10-27
web developer,Hyderabad,IT,"html, javascript, react",0,22,2024-12-01
software engineer,Hyderabad,HealthTech,"python, sql, oops",5,14,2023-07-27
ai engineer,Hyderabad,HealthTech,"nlp, python, ml",3,15,2024-09-26
business analyst,Pune,EdTech,"communication, excel, sql",7,4,2024-01-27
business analyst,Mumbai,HealthTech,"excel, sql, communication",4,4,2023-09-19
business analyst,Mumbai,FinTech,"excel, communication, sql",3,18,2024-11-17
business analyst,Mumbai,FinTech,"sql, excel, communication",1,15,2023-01-24
cyber security analyst,Chennai,HealthTech,"linux, networking, security",0,17,2023-05-27
data analyst,Bangalore,IT,"excel, sql, python",3,16,2024-05-11
data scientist,Hyderabad,FinTech,"statistics, sql, python",8,13,2023-09-27
data analyst,Hyderabad,EdTech,"sql, power bi, excel",6,11,2023-05-27
software engineer,Pune,FinTech,"java, oops, sql",1,22,2024-05-24
software engineer,Mumbai,IT,"python, sql, oops",0,22,2023-06-24
ml engineer,Pune,HealthTech,"tensorflow, python, deep learning",1,17,2023-03-02
ml engineer,Hyderabad,EdTech,"tensorflow, ml, python",8,18,2023-12-23
ai engineer,Pune,EdTech,"ml, ai, python",5,20,2023-11-27
ml engineer,Pune,EdTech,"deep learning, tensorflow, python",8,7,2024-11-02
ai engineer,Delhi,EdTech,"ai, python, nlp",2,10,2024-08-02
cloud engineer,Mumbai,IT,"linux, docker, aws",2,25,2023-08-18
ai engineer,Mumbai,HealthTech,"python, nlp, ml",0,18,2023-12-08
software engineer,Delhi,EdTech,"python, oops, java",2,9,2024-01-22
cloud engineer,Delhi,HealthTech,"aws, linux, docker",8,9,2024-06-21
data scientist,Pune,EdTech,"ml, python, statistics",6,13,2024-02-21
business analyst,Bangalore,E-Commerce,"sql, excel, communication",2,14,2024-08-14
cloud engineer,Mumbai,IT,"aws, linux, azure",5,19,2023-06-01
cyber security analyst,Mumbai,HealthTech,"security, linux, networking",5,21,2024-10-02
data analyst,Hyderabad,HealthTech,"python, sql, power bi",2,12,2023-11-21
cyber security analyst,Hyderabad,E-Commerce,"networking, security, linux",1,8,2023-10-14
data scientist,Mumbai,FinTech,"ml, statistics, sql",0,3,2023-04-25
ai engineer,Mumbai,FinTech,"nlp, ai, python",8,19,2024-05-30
cyber security analyst,Mumbai,E-Commerce,"security, linux, networking",5,16,2024-06-17
data scientist,Hyderabad,HealthTech,"statistics, ml, sql",7,17,2023-03-14
web developer,Delhi,HealthTech,"html, react, javascript",0,17,2024-11-25
business analyst,Pune,IT,"sql, communication, excel",2,17,2023-07-06
business analyst,Chennai,HealthTech,"communication, sql, excel",0,21,2024-07-23
data scientist,Mumbai,E-Commerce,"ml, sql, statistics",5,14,2024-02-18
business analyst,Bangalore,EdTech,"communication, sql, excel",8,13,2024-01-21
data scientist,Delhi,IT,"statistics, python, sql",0,8,2023-08-24
cloud engineer,Hyderabad,FinTech,"linux, aws, azure",1,19,2023-01-25
software engineer,Delhi,IT,"oops, java, sql",4,18,2023-04-24
business analyst,Hyderabad,HealthTech,"excel, sql, communication",6,16,2023-11-18
devops engineer,Delhi,IT,"docker, aws, kubernetes",1,21,2023-03-12
web developer,Mumbai,EdTech,"javascript, html, react",0,21,2023-06-17
web developer,Delhi,FinTech,"css, javascript, react",8,15,2024-09-13
devops engineer,Hyderabad,E-Commerce,"aws, kubernetes, linux",3,16,2024-12-14
ai engineer,Delhi,FinTech,"ai, ml, python",7,23,2023-08-10
devops engineer,Pune,IT,"linux, docker, kubernetes",5,6,2024-04-15
ml engineer,Delhi,EdTech,"python, ml, deep learning",0,14,2024-12-14
business analyst,Hyderabad,IT,"communication, excel, sql",6,24,2024-08-31
cloud engineer,Delhi,EdTech,"docker, linux, azure",0,8,2024-09-07
web developer,Mumbai,FinTech,"css, react, html",7,25,2024-05-30
data scientist,Delhi,IT,"statistics, ml, sql",1,3,2024-07-19
business analyst,Bangalore,E-Commerce,"excel, sql, communication",7,9,2024-03-04
ai engineer,Pune,EdTech,"ml, nlp, ai",0,12,2024-08-25
cyber security analyst,Mumbai,IT,"security, linux, networking",7,20,2023-06-22
web developer,Pune,EdTech,"css, javascript, html",3,24,2023-04-06
devops engineer,Bangalore,FinTech,"linux, docker, aws",7,14,2024-08-29
business analyst,Chennai,HealthTech,"communication, sql, excel",5,6,2023-06-06
cyber security analyst,Bangalore,E-Commerce,"networking, security, linux",7,16,2023-03-09
cloud engineer,Hyderabad,HealthTech,"aws, docker, azure",2,10,2024-09-19
ai engineer,Mumbai,E-Commerce,"python, ai, nlp",2,25,2023-09-21
data scientist,Hyderabad,FinTech,"statistics, sql, ml",7,20,2024-11-24
cloud engineer,Mumbai,FinTech,"aws, azure, docker",4,22,2024-03-19
software engineer,Delhi,HealthTech,"python, oops, java",8,21,2023-01-07
ai engineer,Mumbai,E-Commerce,"nlp, ml, python",3,9,2023-01-31
ml engineer,Chennai,HealthTech,"python, deep learning, tensorflow",4,18,2023-01-21
software engineer,Hyderabad,IT,"python, oops, java",5,6,2024-04-18
cloud engineer,Pune,EdTech,"aws, linux, azure",5,11,2023-04-07
cyber security analyst,Bangalore,E-Commerce,"security, networking, linux",8,4,2023-03-11
devops engineer,Bangalore,EdTech,"kubernetes, docker, aws",8,8,2024-10-28
business analyst,Chennai,FinTech,"communication, sql, excel",7,4,2024-05-23
software engineer,Hyderabad,EdTech,"python, java, sql",5,22,2023-04-21
business analyst,Delhi,FinTech,"communication, excel, sql",3,23,2024-10-03
ml engineer,Delhi,HealthTech,"deep learning, python, tensorflow",1,21,2023-09-22
data analyst,Delhi,EdTech,"python, sql, power bi",1,24,2023-10-16
ml engineer,Mumbai,E-Commerce,"tensorflow, ml, deep learning",4,21,2024-12-21
business analyst,Hyderabad,FinTech,"sql, excel, communication",6,6,2023-07-04
cloud engineer,Delhi,IT,"aws, azure, linux",2,18,2024-05-05
data scientist,Pune,IT,"sql, statistics, ml",5,3,2024-08-06
data scientist,Delhi,E-Commerce,"statistics, ml, python",6,20,2024-11-06
cyber security analyst,Delhi,EdTech,"linux, security, networking",1,5,2023-02-19
software engineer,Bangalore,IT,"python, oops, java",3,24,2024-04-19
data analyst,Delhi,IT,"excel, sql, power bi",8,13,2024-05-28
web developer,Chennai,EdTech,"css, html, react",6,21,2025-01-01
data analyst,Bangalore,E-Commerce,"python, power bi, sql",7,9,2023-10-13
devops engineer,Chennai,HealthTech,"linux, kubernetes, aws",0,23,2024-06-20
data analyst,Hyderabad,EdTech,"python, sql, excel",5,20,2024-10-31
ml engineer,Chennai,IT,"deep learning, python, tensorflow",1,25,2023-02-23
web developer,Delhi,FinTech,"javascript, react, html",8,16,2024-11-16
data scientist,Chennai,HealthTech,"ml, sql, python",3,5,2024-10-01
cloud engineer,Delhi,FinTech,"linux, azure, aws",4,13,2024-04-13
ml engineer,Bangalore,EdTech,"ml, tensorflow, deep learning",3,13,2024-10-05
data analyst,Mumbai,HealthTech,"power bi, excel, sql",8,22,2023-12-14
cloud engineer,Pune,HealthTech,"linux, aws, azure",3,13,2024-08-08
cyber security analyst,Chennai,E-Commerce,"networking, linux, security",0,18,2024-04-23
business analyst,Delhi,IT,"excel, communication, sql",2,10,2023-11-27
ai engineer,Pune,EdTech,"nlp, ml, python",8,14,2023-09-10
web developer,Bangalore,HealthTech,"javascript, html, react",3,5,2024-08-30
business analyst,Mumbai,EdTech,"communication, excel, sql",7,4,2024-12-30
ml engineer,Chennai,HealthTech,"deep learning, tensorflow, ml",8,11,2023-07-08
